001543776253602 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  6   0   1   0   0   1 ]
001543776253636 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  5   0   1   0   0   2 ]
001543776253647 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  4   0   1   0   0   3 ]
001543776253689 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  3   1   1   0   0   3 ]
001543776253884 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  2   1   1   0   0   4 ]
001543776253923 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  1   1   1   0   0   5 ]
001543776253935 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  1   1   1   0   1   4 ]
001543776253946 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   1   1   0   1   5 ]
001543776253955 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   1   1   0   1   5 ]
001543776253956 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   1   1   0   1   5 ]
001543776253967 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   1   1   0   1   5 ]
001543776253996 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   1   1   0   1   5 ]
001543776254047 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   1   1   0   0   5 ]
001543776254048 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   0   5 ]
001543776254049 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  0   1   0   1   0   5 ]
001543776254063 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   1   0   1   0   5 ]
001543776254111 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776254120 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776254148 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776254166 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776254450 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776254507 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   1   1   0   0   5 ]
001543776254507 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   0   5 ]
001543776254507 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   1   4 ]
001543776254508 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   2   3 ]
001543776254508 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   3   2 ]
001543776254509 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   4   1 ]
001543776254509 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   5   0 ]
001543776254588 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   5   0 ]
001543776254593 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   2   1   0   5   0 ]
001543776254640 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   5   0 ]
001543776254769 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   4   0 ]
001543776254770 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   3   1   0   4   0 ]
