001543777126610 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  6   1   1   0   0   0 ]
001543777126618 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  5   1   1   0   0   1 ]
001543777126674 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  4   2   1   0   0   1 ]
001543777126682 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  3   2   1   0   0   2 ]
001543777126687 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  2   2   1   0   0   3 ]
001543777126707 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  1   2   1   0   0   4 ]
001543777126715 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   1   0   0   5 ]
001543777126747 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   2   1   0   0   5 ]
001543777126768 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   2   1   0   0   5 ]
001543777126813 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   1   4 ]
001543777126866 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   2   3 ]
001543777126910 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   2   1   0   2   3 ]
001543777126941 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   2   1   0   2   3 ]
001543777127002 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   3   2 ]
001543777127007 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   3   2 ]
001543777127032 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   4   1 ]
001543777127104 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   4   1 ]
001543777127179 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   5   0 ]
001543777127198 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   4   0 ]
001543777127199 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   3   1   0   4   0 ]
001543777127212 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   3   1   0   3   0 ]
001543777127213 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   4   1   0   3   0 ]
001543777127304 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   4   1   0   2   0 ]
001543777127304 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   4   1   0   2   1 ]
